temperature,S_T,H_T,G
0,,19403.00,19403.00
100,42.2850,20148.60,15920.10
200,47.4755,20894.70,11399.60
300,50.3903,21613.20,6496.11
400,52.4424,22326.60,1349.64
500,54.0519,23048.10,-3977.85
600,55.3960,23785.50,-9452.10
700,56.5612,24541.70,-15051.14
800,57.5951,25316.20,-20759.88
900,58.5269,26107.40,-26566.81
1000,59.3757,26913.20,-32462.50
1100,60.1556,27731.50,-38439.66
1200,60.8767,28560.40,-44491.64
1300,61.5474,29398.40,-50613.22
1400,62.1741,30244.00,-56799.74
1500,62.7621,31096.30,-63046.85
1600,63.3158,31954.50,-69350.78
1700,63.8390,32817.30,-75709.00
1800,64.3347,33684.60,-82117.86
1900,64.8056,34555.70,-88574.94
2000,65.2542,35430.10,-95078.30
2100,65.6823,36307.70,-101625.13
2200,66.0918,37187.90,-108214.06
2300,66.4842,38070.50,-114843.16
2400,66.8608,38955.40,-121510.52
2500,67.2228,39842.40,-128214.60
2600,67.5714,40731.20,-134954.44
2700,67.9075,41621.70,-141728.55
2800,68.2320,42513.80,-148535.80
2900,68.5455,43407.50,-155374.45
3000,68.8490,44302.50,-162244.50
3100,69.1429,45198.80,-169144.19
3200,69.4278,46096.40,-176072.56
3300,69.7044,46995.20,-183029.32
3400,69.9730,47895.10,-190013.10
3500,70.2342,48796.00,-197023.70
3600,70.4883,49698.00,-204059.88
3700,70.7357,50600.90,-211121.19
3800,70.9767,51504.80,-218206.66
3900,71.2118,52409.60,-225316.42
4000,71.4411,53315.50,-232448.90
4100,71.6649,54221.80,-239604.29
4200,71.8835,55129.10,-246781.60
4300,72.0972,56037.20,-253980.76
4400,72.3062,56946.20,-261201.08
4500,72.5106,57855.80,-268441.90
4600,72.7107,58766.20,-275703.02
4700,72.9060,59677.40,-282980.80
4800,73.0986,60589.20,-290284.08
4900,73.2868,61501.80,-297603.52
5000,73.4713,62415.00,-304941.50
5100,73.6523,63328.90,-312297.83
5200,73.8299,64243.50,-319671.98
5300,74.0042,65158.70,-327063.56
5400,74.1754,66074.50,-334472.66
5500,74.3436,66991.00,-341898.80
5600,74.5088,67908.10,-349341.18
5700,74.6712,68825.90,-356799.94
5800,74.8310,69744.20,-364275.60
5900,74.9880,70663.20,-371766.00
6000,75.1426,71582.70,-379272.90
