temperature,S_T,H_T,G
0,,111543.3,111543.30
100,31.1872,112040.2,108921.48
200,34.6308,112537,105610.84
300,36.6452,113033.8,102040.24
400,38.0745,113530.6,98300.80
500,39.1831,114027.4,94435.85
600,40.0889,114524.2,90470.86
700,40.8547,115021.1,86422.81
800,41.5181,115517.9,82303.42
900,42.1033,116014.7,78121.73
1000,42.6268,116511.5,73884.70
1100,43.1003,117008.3,69597.97
1200,43.5326,117505.1,65265.98
1300,43.9302,118001.9,60892.64
1400,44.2984,118498.8,56481.04
1500,44.6412,118995.6,52033.80
1600,44.9618,119492.4,47553.52
1700,45.263,119989.2,43042.10
1800,45.547,120486,38501.40
1900,45.8156,120982.9,33933.26
2000,46.0705,121479.8,29338.80
2100,46.3129,121976.7,24719.61
2200,46.5442,122473.8,20076.56
2300,46.7652,122970.9,15410.94
2400,46.9768,123468.3,10723.98
2500,47.18,123965.9,6015.90
2600,47.3753,124463.8,1288.02
2700,47.5634,124962.3,-3458.88
2800,47.7448,125461.2,-8224.24
2900,47.9202,125960.9,-13007.68
3000,48.0899,126461.5,-17808.20
3100,48.2544,126963.1,-22625.54
3200,48.414,127465.9,-27458.90
3300,48.5691,127970.1,-32307.93
3400,48.7201,128475.9,-37172.44
3500,48.8673,128983.4,-42052.15
3600,49.0108,129493,-46945.88
3700,49.151,130004.8,-51853.90
3800,49.2882,130519.1,-56776.06
3900,49.4224,131036,-61711.36
4000,49.554,131555.7,-66660.30
4100,49.6831,132078.6,-71622.11
4200,49.8099,132604.7,-76596.88
4300,49.9345,133134.2,-81584.15
4400,50.0571,133667.5,-86583.74
4500,50.1778,134204.5,-91595.60
4600,50.2967,134745.5,-96619.32
4700,50.4139,135290.7,-101654.63
4800,50.5296,135840.2,-106701.88
4900,50.6438,136394.1,-111760.52
5000,50.7567,136952.5,-116831.00
5100,50.8682,137515.6,-121912.22
5200,50.9784,138083.5,-127004.18
5300,51.0875,138656.1,-132107.65
5400,51.1955,139233.6,-137222.10
5500,51.3023,139816.1,-142346.55
5600,51.4082,140403.6,-147482.32
5700,51.513,140996,-152628.10
5800,51.6169,141593.5,-157784.52
5900,51.7199,142196,-162951.41
6000,51.822,142803.5,-168128.50
