temperature,S_T,H_T,G
0,,-2074.70,-2074.70
100,41.3967,-1381.20,-5520.87
200,46.2195,-685.40,-9929.30
300,49.0504,13.00,-14702.12
400,51.0923,723.20,-19713.72
500,52.7228,1454.30,-24907.10
600,54.0991,2209.50,-30249.96
700,55.2979,2987.50,-35721.03
800,56.3628,3785.20,-41305.04
900,57.3214,4599.20,-46990.06
1000,58.1933,5426.90,-52766.40
1100,58.9928,6265.80,-58626.28
1200,59.7310,7114.30,-64562.90
1300,60.4167,7971.00,-70570.71
1400,61.0570,8835.00,-76644.80
1500,61.6577,9705.70,-82780.85
1600,62.2236,10582.60,-88975.16
1700,62.7588,11465.50,-95224.46
1800,63.2668,12354.20,-101526.04
1900,63.7503,13248.60,-107876.97
2000,64.2120,14148.60,-114275.40
2100,64.6538,15054.20,-120718.78
2200,65.0776,15965.30,-127205.42
2300,65.4851,16881.90,-133733.83
2400,65.8775,17803.90,-140302.10
2500,66.2560,18731.30,-146908.70
2600,66.6218,19664.00,-153552.68
2700,66.9758,20601.80,-160232.86
2800,67.3107,21544.70,-166925.26
2900,67.6513,22492.60,-173696.17
3000,67.9743,23445.40,-180477.50
3100,68.2882,24402.70,-187290.72
3200,68.5936,25364.70,-194134.82
3300,68.8910,26331.00,-201009.30
3400,69.1807,27301.50,-207912.88
3500,69.4632,28276.20,-214845.00
3600,69.7389,29254.70,-221805.34
3700,70.0080,30237.00,-228792.60
3800,70.2709,31222.90,-235806.52
3900,70.5271,32212.30,-242843.39
4000,70.7793,33205.00,-249912.20
4100,71.0252,34200.90,-257002.42
4200,71.2659,35199.90,-264116.88
4300,71.5017,36201.80,-271255.51
4400,71.7326,37206.50,-278416.94
4500,71.9590,38213.90,-285601.60
4600,72.1810,39223.90,-292808.70
4700,72.3988,40236.40,-300037.96
4800,72.6124,41251.30,-307288.22
4900,72.8222,42268.50,-314560.28
5000,73.0281,43288.00,-321852.50
5100,73.2304,44309.60,-329165.44
5200,73.4292,45333.30,-336498.54
5300,73.6246,46559.10,-343651.28
5400,73.8167,47386.80,-351223.38
5500,74.0056,48416.40,-358614.40
5600,74.1915,49447.90,-366024.50
5700,74.3744,50481.10,-373452.98
5800,74.5544,51516.10,-380899.42
5900,74.7316,52552.80,-388363.64
6000,74.9061,53591.20,-395845.40
