Velocity (10^3 ft/sec),Altitude (10^3 ft)
2.3,97.665
2.4,99.327
2.5,100.934
2.6,102.487
2.7,103.985
2.8,105.43
2.9,106.823
3,108.17
3.1,109.458
3.2,110.702
3.3,111.897
3.4,113.045
3.5,114.147
3.6,115.204
3.7,116.217
3.8,117.186
3.9,118.114
4,119
4.1,119.846
4.2,120.655
4.3,121.427
4.4,122.165
4.5,122.87
4.6,123.544
4.7,124.188
4.8,124.804
4.9,125.394
5,125.96
5.1,126.501
5.2,127.022
5.3,127.525
5.4,128.012
5.5,128.487
5.6,128.954
5.7,129.415
5.8,129.874
5.9,130.334
6,130.8
6.1,131.269
6.2,131.751
6.3,132.247
6.4,132.76
6.5,133.293
6.6,133.849
6.7,134.432
6.8,135.039
6.9,135.668
7,136.32
7.1,136.981
7.2,137.658
7.3,138.346
7.4,139.041
7.5,139.74
7.6,140.441
7.7,141.14
7.8,141.835
7.9,142.522
8,143.2
8.1,143.864
8.2,144.512
8.3,145.142
8.4,145.758
8.5,146.363
8.6,146.957
8.7,147.546
8.8,148.13
8.9,148.714
9,149.3
9.1,149.89
9.2,150.487
9.3,151.095
9.4,151.715
9.5,152.351
9.6,153.005
9.7,153.677
9.8,154.367
9.9,155.075
10,155.8
10.1,156.544
10.2,157.305
10.3,158.084
10.4,158.88
10.5,159.694
10.6,160.525
10.7,161.374
10.8,162.24
10.9,163.123
11,164.02
11.1,164.94
11.2,165.871
11.3,166.814
11.4,167.766
11.5,168.726
11.6,169.691
11.7,170.657
11.8,171.624
11.9,172.589
12,173.55
12.1,174.501
12.2,175.443
12.3,176.374
12.4,177.293
12.5,178.205
12.6,179.116
12.7,180.033
12.8,180.96
12.9,181.903
13,182.87
13.1,183.863
13.2,184.89
13.3,185.957
13.4,187.07
13.5,188.224
13.6,189.406
13.7,190.603
13.8,191.802
13.9,192.989
14,194.15
14.1,195.27
14.2,196.338
14.3,197.339
14.4,198.26
14.5,199.087
14.6,199.815
14.7,200.453
14.8,201.006
14.9,201.484
15,201.89
15.1,202.243
15.2,202.54
15.3,202.793
15.4,203.008
15.5,203.195
15.6,203.36
15.7,203.512
15.8,203.657
15.9,203.804
16,203.95
16.1,204.087
16.2,204.214
16.3,204.325
16.4,204.415
16.5,204.479
16.6,204.512
16.7,204.51
16.8,204.468
16.9,204.381
17,204.24
17.1,204.055
17.2,203.82
17.3,203.545
17.4,203.235
17.5,202.897
17.6,202.536
17.7,202.158
17.8,201.768
17.9,201.374
18,200.98
18.1,200.594
18.2,200.219
18.3,199.864
18.4,199.532
18.5,199.23
18.6,198.965
18.7,198.741
18.8,198.562
18.9,198.424
19,198.32
19.1,198.25
19.2,198.204
19.3,198.178
19.4,198.167
19.5,198.166
19.6,198.17
19.7,198.174
19.8,198.173
19.9,198.162
20,198.14
20.1,198.11
20.2,198.084
20.3,198.068
20.4,198.071
20.5,198.099
20.6,198.161
20.7,198.265
20.8,198.417
20.9,198.626
21,198.9
21.1,199.239
21.2,199.636
21.3,200.084
21.4,200.574
21.5,201.1
21.6,201.652
21.7,202.225
21.8,202.81
21.9,203.399
22,203.98
22.1,204.559
22.2,205.115
22.3,205.644
22.4,206.139
22.5,206.603
22.6,207.077
22.7,207.61
22.8,208.251
22.9,209.048
23,210.05
23.1,211.31
23.2,212.872
23.3,214.787
23.4,217.09
23.5,219.694
23.6,222.458
23.7,225.236
23.8,227.885
23.9,230.259
24,232.22
24.1,233.773
24.2,235.877
24.3,239.806
24.4,246.84
24.5,258.247
24.6,274.862
24.7,297.405
24.8,336.234
24.9,340.6106667
25,359.1949524
25.1,377.7792381
25.2,396.3635238
25.3,414.9478095
