T [K],O (delta H_T)_f [J/kg],N (delta H_T)_f [J/kg],NO (delta H_T)_f [J/kg],NO+ (delta H_T)_f [J/kg]
0,15424969.75,33608051.68,2994457.345,99788634.52
100,15472222.8,33670775.84,3001707.678,100030247.9
200,15527007.05,33697358.94,3008734.924,100264427
298.15,15574050.9,33758918.22,3011676.886,100362466.2
300,15574887.7,33759754.54,3011718.715,100363860.1
400,15617486.05,33803990.01,3013057.238,100408465.7
500,15655377.4,33847448.89,3013712.557,100430303.8
600,15689058.6,33889354.6,3014172.674,100445637
700,15719078.8,33929139.63,3014660.677,100461899.4
800,15746117.9,33966535.18,3015232.338,100480949.7
900,15770698.9,34001541.23,3015873.714,100502323.2
1000,15793292.5,34034307.14,3016542.975,100524625.9
1100,15814238.65,34064982.24,3017198.294,100546464.1
1200,15833851.15,34093865.22,3017825.726,100567372.9
1300,15852260.75,34121105.43,3018397.387,100586423.2
1400,15869676.65,34146941.8,3018857.505,100601756.4
1500,15886151.15,34171553.57,3019206.078,100613372.4
1600,15901736.55,34195060.19,3019415.223,100620342
1700,15916537.45,34217640.89,3019443.109,100621271.3
1800,15930527.7,34239385.27,3019289.736,100616160.2
1900,15943785.75,34260382.92,3018927.219,100604079.6
2000,15956285.45,34280753.34,3018341.616,100584564.6
2100,15968052.95,34300526.38,3017505.039,100556686.2
2200,15979088.25,34319821.53,3016417.489,100520444.2
2300,15989443.65,34338698.52,3015078.966,100475838.6
2400,15999145.3,34357187.21,3013461.584,100421940.3
2500,16008167.05,34375377.21,3011579.286,100359213.7
2600,16016587.35,34393298.4,3009432.071,100287659
2700,16024406.2,34411040.38,3007005.998,100206811.5
2800,16031649.75,34428662.88,3004315.009,100117135.7
2900,16038370.3,34446255.51,3001359.104,100018631.8
3000,16044594,34463818.28,2998138.283,99911299.76
3100,16050347,34481440.78,2994666.489,99795604.14
3200,16055681.6,34499242.49,2990957.665,99672009.62
3300,16060623.95,34517223.42,2986997.867,99540051.56
3400,16065226.35,34535503.03,2982828.926,99401123.89
3500,16069514.95,34554141.06,2978422.954,99254297.32
3600,16073515.9,34573227.13,2973821.781,99100965.77
3700,16077281.5,34592791.09,2969011.464,98940664.61
3800,16080811.75,34612922.56,2964005.945,98773858.47
3900,16084185.1,34633741.01,2958819.168,98601012
4000,16087375.4,34655246.43,2953465.076,98422589.84
4100,16090461.1,34677528.44,2947929.725,98238127.35
4200,16093416.05,34700676.64,2942254.945,98049018.44
4300,16096318.7,34724720.9,2936426.793,97854798.48
4400,16099142.9,34749750.83,2930445.268,97655467.47
4500,16101914.8,34775826.16,2924338.256,97451954.69
4600,16104686.7,34802976.76,2918091.816,97243795.51
4700,16107432.45,34831232.5,2911733.831,97031919.19
4800,16110204.35,34860712.85,2905250.36,96815861.1
4900,16112976.25,34891387.95,2898669.288,96596550.53
5000,16115748.15,34923317.53,2891962.73,96373058.18
5100,16118598.5,34956531.47,2885158.571,96146313.35
5200,16121448.85,34991059.62,2878270.754,95916780.67
5300,16124377.65,35026961.74,2871271.394,95683530.87
5400,16127332.6,35064207.94,2864188.376,95447493.22
5500,16130339.85,35102828.1,2857007.758,95208203.08
5600,16133425.55,35142822.22,2849743.482,94966125.09
5700,16136563.55,35184250.03,2842395.548,94721259.26
5800,16139753.85,35227051.8,2834963.956,94473605.58
5900,16142996.45,35271257.4,2827448.707,94223164.06
6000,16146291.35,35316866.82,2819849.8,93969934.69
