T(K),N2 --> 2N,O2-->2O,N+O --> NO,kp N2,kp O2,Kp NO
100,-6303.75,-6557.85,11514.9,1962.727664,2664.360937,9.66087E-07
200,-11613.2,-11834.1,20956.4,1079.359583,1232.711352,3.36165E-06
250,-14399.625,-14651.75,25953.25,1020.341558,1151.930063,3.7772E-06
298.15,-17142.28333,-17437.15368,30888.34,1007.778789,1135.081742,3.87522E-06
300,-17249.35,-17544.85,31080,1008.061663,1134.854221,3.87522E-06
350,-20149.875,-20500.35,36314.4,1016.980914,1147.150031,3.80344E-06
400,-23095.5,-23503.3,41639.6,1037.699837,1173.077993,3.64947E-06
450,-26080.725,-26547.225,47041.9,1065.322443,1206.793445,3.46195E-06
500,-29098.25,-29624.25,52510.5,1096.435323,1244.330781,3.26639E-06
600,-35221.8,-35860.7,63614,1165.308245,1324.536754,2.89541E-06
700,-41441.1,-42183.4,74897,1237.326912,1405.651189,2.57582E-06
800,-47738,-48570.9,86322,1309.435563,1484.119548,2.30966E-06
900,-54098.45,-55011.05,97858.6,1380.084537,1559.098407,2.0904E-06
1000,-60511.5,-61492.5,109488,1448.473578,1629.87617,1.90865E-06
1100,-66970.45,-68009.1,121196.9,1514.523731,1696.677246,1.75643E-06
1200,-73465.7,-74554.3,132967.4,1577.59005,1759.468087,1.62881E-06
1300,-79994.95,-81126.3,144800.1,1638.145837,1818.914999,1.51932E-06
1400,-86551.3,-87719.7,156678.4,1695.841276,1874.909519,1.42576E-06
1500,-93133.5,-94333.5,168600.5,1751.111089,1927.981754,1.34461E-06
1600,-99740,-100963.2,180564.4,1804.240699,1978.01372,1.2734E-06
1700,-106364.55,-107609.2,192560.6,1854.824102,2025.57137,1.21093E-06
1800,-113007,-114268.5,204589.4,1903.25158,2070.643331,1.15546E-06
1900,-119668.1,-120939.5,216648.7,1949.953029,2113.385066,1.10585E-06
2000,-126345.5,-127620.5,228735,1994.917931,2153.901405,1.0613E-06
2100,-133034.05,-134312.05,240844.1,2037.794226,2192.552418,1.02121E-06
2200,-139734.6,-141014.3,252976.8,2078.935308,2229.595161,9.84805E-07
2300,-146450.4,-147722.05,265132.2,2118.913047,2264.614358,9.51571E-07
2400,-153176.2,-154438.7,277308.4,2157.315185,2298.223124,9.21132E-07
2500,-159911,-161161.5,289501.5,2194.209445,2330.272933,8.93262E-07
2600,-166660.5,-167887.7,301714.4,2230.341671,2360.625201,8.6749E-07
2700,-173417.45,-174621.95,313947.8,2265.079347,2389.938443,8.4352E-07
2800,-180181.5,-181358.7,326190.2,2298.520961,2417.743347,8.21538E-07
2900,-186952.75,-188101.4,338454,2330.795865,2444.524569,8.00876E-07
3000,-193736,-194845.5,350731,2362.464206,2469.926592,7.81646E-07
3100,-200529.2,-201594.8,363023.6,2393.402658,2494.431911,7.63613E-07
3200,-207325.4,-208346.9,375328.4,2423.04854,2517.891391,7.46743E-07
3300,-214134.25,-215103.05,387653.1,2452.362569,2540.505015,7.30705E-07
3400,-220946,-221860.5,399987.2,2480.530595,2562.091746,7.15687E-07
3500,-227769.5,-228619.25,412334.5,2508.397964,2582.728304,7.01491E-07
3600,-234593.9,-235378.9,424693.4,2535.080782,2602.449242,6.88076E-07
3700,-241433.05,-242143.6,437070.7,2561.810542,2621.673108,6.75219E-07
3800,-248277.3,-248907.5,449459.6,2587.811111,2639.949314,6.63016E-07
3900,-255130.85,-255675.85,461863.7,2613.471697,2657.770771,6.51338E-07
4000,-261985.5,-262441.5,474268,2638.172159,2674.595422,6.4043E-07
4100,-268853.25,-269213.6,486696.2,2662.907508,2691.207369,6.29782E-07
4200,-275728.5,-275984.4,499140.8,2687.257684,2707.023403,6.19515E-07
4300,-282610.05,-282756.75,511591.5,2711.16036,2722.308392,6.09778E-07
4400,-289499.2,-289533.2,524059.2,2734.742954,2737.285885,6.00346E-07
4500,-296396.5,-296306.5,536536.5,2758.069813,2751.443027,5.91319E-07
4600,-303302.4,-303081.3,549026,2781.19396,2765.161602,5.82625E-07
4700,-310218.7,-309858.8,561537.4,2804.262009,2778.552481,5.74099E-07
4800,-317142.1,-316637.6,574056.2,2827.051333,2791.537188,5.6594E-07
4900,-324073.05,-323416.55,586589.2,2849.612543,2804.059244,5.58029E-07
5000,-331013,-330197.5,599137,2872.062417,2816.268752,5.50342E-07
5100,-337959.9,-336975.75,611693.9,2894.272844,2827.869452,5.4294E-07
5200,-344922,-343761.3,624278.8,2916.816314,2839.54846,5.3557E-07
5300,-351888.45,-350545.85,636865.4,2938.964966,2850.76759,5.28552E-07
5400,-358866.7,-357331.3,649477.4,2961.230443,2861.670455,5.21585E-07
5500,-365854,-364116.25,662092.5,2983.436249,2872.184897,5.14924E-07
5600,-372853.1,-370894.8,674725.2,3005.768381,2881.964221,5.08389E-07
5700,-379856.55,-377684.95,687377.1,3027.753295,2892.139821,5.01959E-07
5800,-386874.6,-384469.1,700040,3050.056007,2901.637565,4.95714E-07
5900,-393900.65,-391258.45,712722.1,3072.259721,2911.151564,4.89563E-07
6000,-400938,-398046,725420,3094.577867,2920.272705,4.83537E-07
